Fecha_Grafico,Anio,Max_Dia,Min_Dia,Max_Hum,Min_Hum,ET_Dia,GD_Dia,Rocio_Prom,Lluvia_Dia,Prom_Temp,Prom_Hum
04/07/2025,2025,26.9,12.5,98,66,2.72,9.7,15.4,0.0,17.6,87.9
05/07/2025,2025,23.9,12.3,98,69,2.13,8.1,13.9,0.0,15.7,90.0
06/07/2025,2025,25.1,12.3,98,65,2.79,8.7,14.1,0.0,16.3,87.6
07/07/2025,2025,24.3,11.6,96,65,2.03,7.95,13.8,0.0,16.1,87.2
08/07/2025,2025,21.3,11.4,98,75,2.18,6.35,13.1,0.0,14.8,90.5
09/07/2025,2025,22.4,10.7,96,68,2.24,6.55,12.8,0.0,15.0,87.5
10/07/2025,2025,22.7,11.2,98,67,2.21,6.95,12.5,0.0,14.8,87.5
11/07/2025,2025,22.2,10.1,96,68,2.01,6.15,12.3,0.25,14.5,87.3
12/07/2025,2025,25.0,9.7,99,59,2.49,7.35,12.2,0.25,15.0,85.2
13/07/2025,2025,27.0,8.0,98,51,2.84,7.5,12.1,0.0,15.3,83.6
14/07/2025,2025,25.7,11.4,98,57,2.72,8.55,13.0,0.0,15.7,85.4
15/07/2025,2025,22.3,11.6,96,66,2.39,6.95,12.6,0.0,14.8,87.1
16/06/2025,2025,25.3,12.6,97,70,2.36,8.95,15.3,0.0,17.5,87.8
16/07/2025,2025,22.2,10.4,98,66,1.93,6.3,12.2,0.0,14.5,87.1
17/06/2025,2025,25.2,11.1,98,66,2.79,8.15,14.1,0.0,16.5,87.0
17/07/2025,2025,22.9,10.6,97,64,1.93,6.75,12.2,0.0,14.8,85.3
18/06/2025,2025,25.9,10.2,98,63,2.72,8.05,13.8,0.0,16.6,84.9
19/06/2025,2025,20.2,11.8,97,77,1.19,6.0,13.5,0.0,15.0,91.3
20/06/2025,2025,23.2,9.1,94,69,2.29,6.15,13.6,0.0,16.0,86.4
21/06/2025,2025,20.0,8.4,98,75,1.19,4.2,12.0,0.0,13.5,91.1
22/06/2025,2025,16.6,12.2,98,84,0.58,4.4,12.8,0.51,14.1,91.7
23/06/2025,2025,23.7,11.9,93,70,1.96,7.8,13.7,0.0,16.4,85.0
24/06/2025,2025,28.1,10.8,97,62,2.9,9.45,15.1,0.0,18.7,80.9
25/06/2025,2025,27.9,12.6,95,61,2.08,10.25,14.9,0.0,18.3,81.6
26/06/2025,2025,28.3,12.4,98,60,2.92,10.35,14.8,0.0,17.6,85.3
27/06/2025,2025,24.9,13.4,98,69,2.57,9.15,14.7,0.0,16.6,89.3
28/06/2025,2025,24.8,12.9,97,69,2.79,8.85,14.7,0.0,16.9,87.7
29/06/2025,2025,20.7,13.0,97,77,1.4,6.85,13.6,0.0,15.2,90.8
30/06/2025,2025,23.7,10.6,97,69,1.85,7.15,13.3,0.0,15.3,89.0
01/07/2026,2026,22.1,10.8,94,65,2.03,6.45,12.6,0.0,15.4,83.9
02/07/2026,2026,26.6,10.4,94,50,3.02,8.5,13.1,0.25,17.3,78.9
03/07/2026,2026,24.8,12.4,94,59,2.08,8.6,14.4,0.0,17.4,83.6
04/07/2026,2026,27.3,15.5,92,53,2.77,11.4,15.2,0.0,18.7,81.3
05/07/2026,2026,24.2,14.0,92,62,2.39,9.1,14.8,0.0,18.2,81.5
06/07/2026,2026,26.9,11.7,94,52,2.77,9.3,13.9,0.0,17.4,81.6
07/07/2026,2026,23.8,11.3,94,64,2.03,7.55,13.9,0.25,16.7,84.5
08/07/2026,2026,26.7,10.8,94,53,2.82,8.75,13.8,1.02,17.0,82.6
09/07/2026,2026,23.1,11.8,95,66,1.7,7.45,14.0,0.25,16.5,85.6
10/07/2026,2026,23.4,11.5,94,65,1.57,7.45,13.9,0.0,16.5,85.1
11/07/2026,2026,23.5,12.6,94,63,2.72,8.05,13.8,0.25,17.0,82.7
12/07/2026,2026,26.6,11.8,90,49,3.12,9.2,13.5,0.0,18.3,75.2
13/07/2026,2026,25.8,10.7,95,52,3.07,8.25,13.1,0.0,17.1,79.1
14/07/2026,2026,29.9,11.3,92,44,3.63,10.6,14.1,0.0,19.2,74.5
15/07/2026,2026,28.3,13.3,91,50,3.73,10.8,15.1,0.0,19.9,75.6
16/06/2026,2026,27.5,13.0,95,54,3.12,10.25,14.8,0.0,18.7,79.7
16/07/2026,2026,27.2,10.6,95,51,2.92,8.9,13.3,0.0,17.2,79.3
17/06/2026,2026,25.1,14.8,91,59,2.13,9.95,15.2,0.0,18.8,80.1
17/07/2026,2026,29.3,12.5,95,41,3.73,10.9,13.8,0.25,18.8,75.7
18/06/2026,2026,25.7,13.1,92,56,2.44,9.4,14.4,0.0,18.1,79.8
19/06/2026,2026,23.8,13.7,92,60,2.08,8.75,14.2,0.0,17.7,80.9
20/06/2026,2026,25.5,12.7,93,56,2.46,9.1,14.2,0.0,17.8,80.6
21/06/2026,2026,25.8,12.6,92,52,2.95,9.2,13.6,0.0,17.6,79.1
22/06/2026,2026,26.4,10.8,93,50,3.17,8.6,13.0,0.0,17.3,77.8
23/06/2026,2026,24.4,10.2,94,54,2.44,7.3,12.1,0.0,15.6,81.3
24/06/2026,2026,21.8,9.3,93,63,2.16,5.55,12.0,0.0,15.4,81.2
25/06/2026,2026,24.6,9.4,94,56,2.24,7.0,12.1,0.25,15.3,82.2
26/06/2026,2026,25.8,8.1,95,52,2.79,6.95,11.8,0.25,15.5,80.5
27/06/2026,2026,25.1,11.2,91,52,2.92,8.15,12.6,0.0,16.8,77.7
28/06/2026,2026,26.1,10.1,93,48,3.05,8.1,12.2,0.0,16.2,78.8
29/06/2026,2026,24.7,10.5,93,60,2.03,7.6,13.2,0.0,16.5,82.0
30/06/2026,2026,23.7,10.1,94,61,2.03,6.9,12.4,0.0,15.4,83.3
